"date","month_day","day_date","seasons"
"2020-01-22",1,22,0
"2020-01-23",1,23,0
"2020-01-24",1,24,0
"2020-01-25",1,25,0
"2020-01-26",1,26,0
"2020-01-27",1,27,0
"2020-01-28",1,28,0
"2020-01-29",1,29,0
"2020-01-30",1,30,0
"2020-01-31",1,31,0
"2020-02-01",2,1,0
"2020-02-02",2,2,0
"2020-02-03",2,3,0
"2020-02-04",2,4,0
"2020-02-05",2,5,0
"2020-02-06",2,6,0
"2020-02-07",2,7,0
"2020-02-08",2,8,0
"2020-02-09",2,9,0
"2020-02-10",2,10,0
"2020-02-11",2,11,0
"2020-02-12",2,12,0
"2020-02-13",2,13,0
"2020-02-14",2,14,0
"2020-02-15",2,15,0
"2020-02-16",2,16,0
"2020-02-17",2,17,0
"2020-02-18",2,18,0
"2020-02-19",2,19,0
"2020-02-20",2,20,0
"2020-02-21",2,21,0
"2020-02-22",2,22,0
"2020-02-23",2,23,0
"2020-02-24",2,24,0
"2020-02-25",2,25,0
"2020-02-26",2,26,0
"2020-02-27",2,27,0
"2020-02-28",2,28,0
"2020-02-29",2,29,0
"2020-03-01",3,1,0
"2020-03-02",3,2,0
"2020-03-03",3,3,0
"2020-03-04",3,4,0
"2020-03-05",3,5,0
"2020-03-06",3,6,0
"2020-03-07",3,7,0
"2020-03-08",3,8,0
"2020-03-09",3,9,0
"2020-03-10",3,10,0
"2020-03-11",3,11,0
"2020-03-12",3,12,0
"2020-03-13",3,13,0
"2020-03-14",3,14,0
"2020-03-15",3,15,0
"2020-03-16",3,16,0
"2020-03-17",3,17,0
"2020-03-18",3,18,0
"2020-03-19",3,19,0
"2020-03-20",3,20,1
"2020-03-21",3,21,1
"2020-03-22",3,22,1
"2020-03-23",3,23,1
"2020-03-24",3,24,1
"2020-03-25",3,25,1
"2020-03-26",3,26,1
"2020-03-27",3,27,1
"2020-03-28",3,28,1
"2020-03-29",3,29,1
"2020-03-30",3,30,1
"2020-03-31",3,31,1
"2020-04-01",4,1,1
"2020-04-02",4,2,1
"2020-04-03",4,3,1
"2020-04-04",4,4,1
"2020-04-05",4,5,1
"2020-04-06",4,6,1
"2020-04-07",4,7,1
"2020-04-08",4,8,1
"2020-04-09",4,9,1
"2020-04-10",4,10,1
"2020-04-11",4,11,1
"2020-04-12",4,12,1
"2020-04-13",4,13,1
"2020-04-14",4,14,1
"2020-04-15",4,15,1
"2020-04-16",4,16,1
"2020-04-17",4,17,1
"2020-04-18",4,18,1
"2020-04-19",4,19,1
"2020-04-20",4,20,1
"2020-04-21",4,21,1
"2020-04-22",4,22,1
"2020-04-23",4,23,1
"2020-04-24",4,24,1
"2020-04-25",4,25,1
"2020-04-26",4,26,1
"2020-04-27",4,27,1
"2020-04-28",4,28,1
"2020-04-29",4,29,1
"2020-04-30",4,30,1
