"ID","Revenue","Date"
ID00001,"4310","2014-01-02"
ID00002,"2800","2014-01-02"
ID00003,"1650","2014-01-02"
ID00004,"550","2014-01-02"
ID00005,"1090","2014-01-02"
ID00006,"4350","2014-01-02"
ID00007,"2090","2014-01-03"
ID00008,"3580","2014-01-03"
ID00009,"4170","2014-01-03"
ID00010,"880","2014-01-04"
ID00011,"1940","2014-01-04"
ID00012,"1580","2014-01-06"
ID00013,"4350","2014-01-06"
ID00014,"2750","2014-01-06"
ID00015,"1320","2014-01-06"
ID00016,"6360","2014-01-06"
ID00017,"5110","2014-01-06"
ID00018,"1430","2014-01-06"
ID00019,"1750","2014-01-06"
ID00020,"2530","2014-01-06"
ID00021,"1865","2014-01-07"
ID00022,"13640","2014-01-07"
ID00023,"1530","2014-01-07"
ID00015,"1050","2014-01-08"
ID00024,"110","2014-01-08"
ID00025,"6240","2014-01-08"
ID00026,"3960","2014-01-08"
ID00027,"2590","2014-01-08"
ID00028,"690","2014-01-08"
ID00029,"780","2014-01-08"
ID00030,"3640","2014-01-08"
ID00030,"3640","2014-01-08"
ID00031,"1400","2014-01-08"
ID00032,"6615","2014-01-09"
ID00033,"2600","2014-01-09"
ID00034,"4240","2014-01-09"
ID00035,"1690","2014-01-09"
ID00036,"2015","2014-01-10"
ID00037,"5940","2014-01-10"
ID00038,"3530","2014-01-10"
ID00039,"2000","2014-01-10"
ID00040,"3300","2014-01-10"
ID00041,"2300","2014-01-10"
ID00042,"790","2014-01-11"
ID00043,"1350","2014-01-11"
ID00044,"1565","2014-01-12"
ID00045,"660","2014-01-12"
ID00046,"2160","2014-01-12"
ID00047,"1570","2014-01-12"
ID00048,"2900","2014-01-12"
ID00049,"3670","2014-01-12"
ID00050,"1750","2014-01-13"
ID00051,"780","2014-01-13"
ID00052,"1650","2014-01-13"
ID00053,"780","2014-01-13"
ID00054,"4070","2014-01-13"
ID00055,"3880","2014-01-14"
ID00056,"3995","2014-01-14"
ID00057,"795","2014-01-14"
ID00058,"1430","2014-01-14"
ID00059,"740","2014-01-15"
ID00060,"1750","2014-01-15"
ID00061,"3900","2014-01-15"
ID00062,"900","2014-01-15"
ID00063,"750","2014-01-16"
ID00064,"1500","2014-01-16"
ID00065,"3895","2014-01-16"
ID00066,"1500","2014-01-17"
ID00067,"1800","2014-01-17"
ID00068,"2960","2014-01-17"
ID00069,"1400","2014-01-17"
ID00070,"990","2014-01-17"
ID00071,"1480","2014-01-17"
ID00072,"890","2014-01-18"
ID00073,"4380","2014-01-18"
ID00073,"4380","2014-01-18"
ID00074,"4255","2014-01-19"
ID00075,"2100","2014-01-19"
ID00076,"2000","2014-01-19"
ID00077,"1800","2014-01-19"
ID00078,"840","2014-01-19"
ID00079,"1150","2014-01-20"
ID00080,"7800","2014-01-20"
ID00081,"1530","2014-01-20"
ID00082,"820","2014-01-20"
ID00083,"2220","2014-01-20"
ID00084,"675","2014-01-21"
ID00085,"820","2014-01-21"
ID00086,"1365","2014-01-21"
ID00087,"1290","2014-01-21"
ID00088,"3340","2014-01-21"
ID00089,"2650","2014-01-21"
ID00090,"595","2014-01-22"
ID00091,"2090","2014-01-22"
ID00092,"5070","2014-01-22"
ID00093,"1290","2014-01-23"
ID00094,"2650","2014-01-23"
ID00095,"1740","2014-01-24"
ID00096,"2090","2014-01-24"
ID00097,"3340","2014-01-24"
ID00098,"1420","2014-01-24"
ID00099,"1490","2014-01-24"
ID00100,"2090","2014-01-24"
ID00101,"3570","2014-01-26"
ID00102,"1540","2014-01-26"
ID00103,"3780","2014-01-27"
ID00104,"6600","2014-01-27"
ID00105,"1990","2014-01-27"
ID00106,"3900","2014-01-27"
ID00107,"2850","2014-01-27"
ID00108,"1400","2014-01-27"
ID00109,"1290","2014-01-27"
ID00110,"1800","2014-01-27"
ID00111,"490","2014-02-03"
ID00112,"1400","2014-01-28"
ID00112,"2800","2014-01-28"
ID00113,"13059","2014-01-28"
ID00114,"1235","2014-01-28"
ID00115,"11700","2014-01-28"
ID00116,"6560","2014-01-28"
ID00117,"1490","2014-01-28"
ID00094,"2550","2014-01-28"
ID00118,"5890","2014-01-29"
ID00119,"1730","2014-01-29"
ID00120,"2100","2014-01-29"
ID00121,"5000","2014-01-29"
ID00122,"2530","2014-01-30"
ID00123,"1390","2014-01-30"
ID00124,"1370","2014-01-30"
ID00125,"6535","2014-01-30"
ID00126,"3580","2014-01-30"
ID00127,"700","2014-01-30"
ID00128,"2050","2014-01-30"
ID00129,"3960","2014-01-30"
ID00130,"3900","2014-01-31"
ID00131,"1430","2014-01-31"
ID00132,"500","2014-01-31"
ID00133,"600","2014-01-31"
ID00134,"1100","2014-01-31"
ID00135,"1650","2014-01-31"
ID00136,"2150","2014-01-31"
ID00137,"3600","2014-01-31"
ID00138,"3780","2014-02-01"
ID00139,"2080","2014-02-02"
ID00140,"990","2014-02-02"
ID00141,"2865","2014-02-03"
ID00142,"3400","2014-02-03"
ID00141,"2790","2014-02-03"
ID00143,"1505","2014-02-03"
ID00144,"3765","2014-02-03"
ID00145,"600","2014-02-03"
ID00146,"4040","2014-02-03"
ID00147,"4960","2014-02-03"
ID00148,"2940","2014-02-04"
ID00149,"1530","2014-02-04"
ID00150,"780","2014-02-04"
ID00151,"5800","2014-02-04"
ID00152,"2660","2014-02-04"
ID00153,"1135","2014-02-04"
ID00154,"1380","2014-02-04"
ID00155,"830","2014-02-05"
ID00156,"2800","2014-02-05"
ID00157,"2150","2014-02-05"
ID00158,"1280","2014-02-05"
ID00159,"1430","2014-02-05"
ID00160,"660","2014-02-06"
ID00161,"1400","2014-02-06"
ID00162,"3615","2014-02-06"
ID00163,"2260","2014-02-06"
