"year","country","region","religion","population"
2010,Afghanistan,Asia-Pacific,Christianity,30000.0
2010,Afghanistan,Asia-Pacific,Islam,31330000
2010,Afghanistan,Asia-Pacific,Unaffiliated Religions,0.0
2010,Afghanistan,Asia-Pacific,Hinduism,10000.0
2010,Afghanistan,Asia-Pacific,Buddhism,0.0
2010,Afghanistan,Asia-Pacific,Folk Religions,0.0
2010,Afghanistan,Asia-Pacific,Other Religions,20000.0
2010,Afghanistan,Asia-Pacific,Judaism,0.0
2010,Albania,Europe,Christianity,580000.0
2010,Albania,Europe,Islam,2570000.0
2010,Albania,Europe,Unaffiliated Religions,50000.0
2010,Albania,Europe,Hinduism,0.0
2010,Albania,Europe,Buddhism,0.0
2010,Albania,Europe,Folk Religions,0.0
2010,Albania,Europe,Other Religions,0.0
2010,Albania,Europe,Judaism,0.0
2010,Algeria,Middle East-North Africa,Christianity,60000.0
2010,Algeria,Middle East-North Africa,Islam,34730000
2010,Algeria,Middle East-North Africa,Unaffiliated Religions,660000.0
2010,Algeria,Middle East-North Africa,Hinduism,0.0
2010,Algeria,Middle East-North Africa,Buddhism,0.0
2010,Algeria,Middle East-North Africa,Folk Religions,10000.0
2010,Algeria,Middle East-North Africa,Other Religions,0.0
2010,Algeria,Middle East-North Africa,Judaism,0.0
2010,American Samoa,Asia-Pacific,Christianity,50000.0
2010,American Samoa,Asia-Pacific,Islam,0.0
2010,American Samoa,Asia-Pacific,Unaffiliated Religions,0.0
2010,American Samoa,Asia-Pacific,Hinduism,0.0
2010,American Samoa,Asia-Pacific,Buddhism,0.0
2010,American Samoa,Asia-Pacific,Folk Religions,0.0
2010,American Samoa,Asia-Pacific,Other Religions,0.0
2010,American Samoa,Asia-Pacific,Judaism,0.0
2010,Andorra,Europe,Christianity,70000.0
2010,Andorra,Europe,Islam,0.0
2010,Andorra,Europe,Unaffiliated Religions,0.0
2010,Andorra,Europe,Hinduism,0.0
2010,Andorra,Europe,Buddhism,0.0
2010,Andorra,Europe,Folk Religions,0.0
2010,Andorra,Europe,Other Religions,0.0
2010,Andorra,Europe,Judaism,0.0
2010,Angola,Sub-Saharan Africa,Christianity,17270000
2010,Angola,Sub-Saharan Africa,Islam,40000.0
2010,Angola,Sub-Saharan Africa,Unaffiliated Religions,980000.0
2010,Angola,Sub-Saharan Africa,Hinduism,0.0
2010,Angola,Sub-Saharan Africa,Buddhism,0.0
2010,Angola,Sub-Saharan Africa,Folk Religions,790000.0
2010,Angola,Sub-Saharan Africa,Other Religions,0.0
2010,Angola,Sub-Saharan Africa,Judaism,0.0
