"country","date","dny","jaro_leto_podzim_zima","population_density","population","tests_performed","confirmed_per_day","gdp_per_person","gini","mortaliy_under5","median_age_2018","Christianity","Islam","Hinduism","Judaism","rozdil_doziti","prumer_temp","pocet_hodin","max_vitr"
Austria,"2020-02-26",pracovni_den,"0",107.2069267,8840521,103.0,1,50100.62,30.8,3.5,44.5,78.6,6.2,,0.23,15.149000000000001,6.5000,12,"26 km/h"
Austria,"2020-02-28",pracovni_den,"0",107.2069267,8840521,316.0,6,50100.62,30.8,3.5,44.5,78.6,6.2,,0.23,15.149000000000001,5.3333,18,"44 km/h"
Austria,"2020-03-04",pracovni_den,"0",107.2069267,8840521,455.0,12,50100.62,30.8,3.5,44.5,78.6,6.2,,0.23,15.149000000000001,10.0000,6,"18 km/h"
Austria,"2020-03-06",pracovni_den,"0",107.2069267,8840521,289.0,24,50100.62,30.8,3.5,44.5,78.6,6.2,,0.23,15.149000000000001,7.4000,30,"9 km/h"
Austria,"2020-03-07",vikend,"0",107.2069267,8840521,308.0,25,50100.62,30.8,3.5,44.5,78.6,6.2,,0.23,15.149000000000001,8.3333,18,"30 km/h"
Austria,"2020-03-11",pracovni_den,"0",107.2069267,8840521,336.0,56,50100.62,30.8,3.5,44.5,78.6,6.2,,0.23,15.149000000000001,12.5000,12,"39 km/h"
Austria,"2020-03-13",pracovni_den,"0",107.2069267,8840521,713.0,151,50100.62,30.8,3.5,44.5,78.6,6.2,,0.23,15.149000000000001,10.5000,12,"29 km/h"
Austria,"2020-03-21",vikend,"0",107.2069267,8840521,2932.0,768,50100.62,30.8,3.5,44.5,78.6,6.2,,0.23,15.149000000000001,7.5000,24,"27 km/h"
Austria,"2020-03-22",vikend,"0",107.2069267,8840521,2823.0,892,50100.62,30.8,3.5,44.5,78.6,6.2,,0.23,15.149000000000001,3.5000,12,"26 km/h"
Austria,"2020-03-30",pracovni_den,"0",107.2069267,8840521,3014.0,562,50100.62,30.8,3.5,44.5,78.6,6.2,,0.23,15.149000000000001,1.0000,6,"26 km/h"
Austria,"2020-04-03",pracovni_den,"1",107.2069267,8840521,6153.0,257,50100.62,30.8,3.5,44.5,78.6,6.2,,0.23,15.149000000000001,14.0000,6,"12 km/h"
Austria,"2020-04-13",pracovni_den,"1",107.2069267,8840521,3535.0,185,50100.62,30.8,3.5,44.5,78.6,6.2,,0.23,15.149000000000001,17.5000,12,"27 km/h"
Austria,"2020-04-14",pracovni_den,"1",107.2069267,8840521,3384.0,110,50100.62,30.8,3.5,44.5,78.6,6.2,,0.23,15.149000000000001,7.6667,18,"29 km/h"
